EmployeeNumber,EffectiveDate
2479,5/16/2016
1270,5/13/2016
2958,5/13/2016
3038,5/11/2016
3046,5/8/2016
2908,5/8/2016
2841,5/8/2016
2761,5/8/2016
2792,5/8/2016
2794,5/8/2016
2760,5/7/2016
2861,5/6/2016
3054,5/6/2016
3066,5/5/2016
2795,5/4/2016
2748,4/30/2016
3102,4/29/2016
3045,4/29/2016
2975,4/26/2016
2928,4/22/2016
2015,4/22/2016
2889,4/21/2016
3031,4/15/2016
3090,4/15/2016
2678,4/14/2016
3018,4/11/2016
3017,4/8/2016
3032,4/8/2016
2256,4/8/2016
2994,4/8/2016
3067,4/7/2016
2870,4/2/2016
2835,4/2/2016
3007,3/31/2016
3035,3/31/2016
3063,3/30/2016
3000,3/29/2016
2956,3/29/2016
2788,3/29/2016
3034,3/28/2016
2284,3/27/2016
2083,3/26/2016
2620,3/25/2016
3037,3/25/2016
3053,3/24/2016
2880,3/23/2016
2745,3/21/2016
2443,3/21/2016
2974,3/20/2016
2993,3/16/2016
2967,3/15/2016
9040,3/14/2016
3011,3/11/2016
2622,3/10/2016
